Time,Latitude,Longitude,Depth/Km,Magnitude
2016-08-24 03:36:32.000,42.6983,13.2335,8.1,6.0
2016-08-24 03:37:26.580,42.7123,13.2533,9.0,4.5
2016-08-24 03:40:46.590,42.7647,13.1723,9.7,3.8
2016-08-24 03:41:38.900,42.7803,13.1683,9.7,3.9
2016-08-24 03:42:07.170,42.7798,13.1575,9.7,3.6
2016-08-24 03:43:58.700,42.7298,13.2137,10.7,3.4
2016-08-24 03:44:38.660,42.676,13.2858,10.8,2.7
2016-08-24 03:44:56.400,42.6282,13.2648,10.6,3.2
2016-08-24 03:46:12.240,42.7645,13.1777,6.6,3.7
2016-08-24 03:46:46.000,42.7445,13.2097,12.4,2.8
2016-08-24 03:47:51.540,42.6675,13.3238,6.5,3.3
2016-08-24 03:52:25.710,42.7447,13.2827,7.9,2.9
2016-08-24 03:52:43.210,42.6378,13.2313,10.9,3.1
2016-08-24 03:55:20.400,42.7895,13.1453,11.1,3.0
2016-08-24 03:55:44.630,42.7217,13.2497,6.3,3.5
2016-08-24 03:56:00.580,42.6008,13.2763,7.7,4.3
2016-08-24 03:57:23.090,42.7165,13.2208,8.5,3.4
2016-08-24 03:59:05.760,43.1615,12.8797,18.7,2.0
2016-08-24 03:59:23.630,42.6307,13.2283,10.7,2.8
2016-08-24 04:00:00.450,42.6125,13.2497,11.2,2.9
2016-08-24 04:01:08.120,42.7988,13.2412,6.9,3.9
2016-08-24 04:03:56.210,42.6253,13.2545,12.7,2.6
2016-08-24 04:04:05.850,42.7928,13.1333,9.8,2.8
2016-08-24 04:04:18.860,42.7892,13.1233,10.1,3.1
2016-08-24 04:04:50.450,42.6322,13.3002,7.1,2.9
2016-08-24 04:05:55.860,42.6162,13.2812,6.7,3.9
2016-08-24 04:07:30.340,42.6632,13.2957,6.4,3.8
2016-08-24 04:08:04.800,42.7918,13.1437,10.2,3.2
2016-08-24 04:09:08.810,42.6228,13.2665,10.2,2.7
2016-08-24 04:09:56.600,42.7352,13.1897,11.4,3.6
2016-08-24 04:10:37.790,42.718,13.2885,9.9,2.7
2016-08-24 04:10:56.030,42.7558,13.1927,9.5,3.8
2016-08-24 04:11:17.730,42.2743,13.390999999999998,9.2,3.1
2016-08-24 04:11:51.640,42.7198,13.2115,10.7,2.4
2016-08-24 04:12:12.210,42.8068,13.1488,8.9,3.5
2016-08-24 04:13:10.060,42.7035,13.2273,6.2,2.7
2016-08-24 04:13:57.320,42.7678,13.1538,9.3,3.7
2016-08-24 04:15:15.420,42.8002,13.1663,7.5,3.7
2016-08-24 04:16:30.020,42.6753,13.2607,12.1,2.7
2016-08-24 04:17:01.740,42.638000000000005,13.2458,11.5,2.4
2016-08-24 04:18:01.700,42.7828,13.1663,10.2,2.0
2016-08-24 04:19:43.960,42.6403,13.2362,10.4,3.8
2016-08-24 04:21:53.030,42.6452,13.2237,13.0,2.3
2016-08-24 04:22:39.630,42.7293,13.2038,10.6,2.8
2016-08-24 04:23:16.950,42.75,13.2458,10.5,3.2
2016-08-24 04:23:40.540,42.8273,13.2442,7.6,3.3
2016-08-24 04:24:43.290,42.6153,13.2673,10.7,3.2
2016-08-24 04:27:17.800,42.6478,13.2547,10.0,2.8
2016-08-24 04:27:51.440,42.7955,13.2262,6.7,3.0
2016-08-24 04:28:02.220,42.7977,13.1613,7.7,3.1
2016-08-24 04:28:58.280,42.6197,13.2663,10.7,3.2
2016-08-24 04:30:50.090,42.832,13.1438,8.0,3.4
2016-08-24 04:31:39.120,42.803000000000004,13.231,8.6,3.1
2016-08-24 04:32:29.010,42.8115,13.1438,9.1,2.5
2016-08-24 04:33:28.890,42.7922,13.1507,8.0,5.4
2016-08-24 04:36:15.920,42.7807,13.1657,9.7,2.8
2016-08-24 04:36:43.650,42.7852,13.1558,10.1,2.9
2016-08-24 04:38:02.490,42.7647,13.1727,9.6,3.1
2016-08-24 04:40:18.080,42.6137,13.3003,9.6,2.8
2016-08-24 04:41:32.780,42.8125,13.1328,9.3,2.5
2016-08-24 04:43:14.980,42.6427,13.2443,9.7,2.9
